Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"COX-2, mPGES-1 and EP2 receptor immunohistochemical expression in canine and feline malignant mammary tumours.","/pubmed/24824420","Millanta F, Asproni P, Canale A, Citi S, Poli A.","Vet Comp Oncol. 2014 May 14. doi: 10.1111/vco.12096. [Epub ahead of print]","Vet Comp Oncol.  2014","PubMed","citation","PMID:24824420","pubmed","24824420","create date:2014/05/16 | first author:Millanta F",
"Investigation of Listeria, Salmonella, and Toxigenic Escherichia coli in Various Pet Foods.","/pubmed/24824368","Nemser SM, Doran T, Grabenstein M, McConnell T, McGrath T, Pamboukian R, Smith AC, Achen M, Danzeisen G, Kim S, Liu Y, Robeson S, Rosario G, McWilliams Wilson K, Reimschuessel R.","Foodborne Pathog Dis. 2014 Sep;11(9):706-9. doi: 10.1089/fpd.2014.1748. Epub 2014 May 13.","Foodborne Pathog Dis.  2014","PubMed","citation","PMID:24824368 | PMCID:PMC4152787","pubmed","24824368","create date:2014/05/16 | first author:Nemser SM",
"Sensitization to Asian dust and allergic rhinoconjunctivitis.","/pubmed/24815334","Mimura T, Yamagami S, Fujishima H, Noma H, Kamei Y, Goto M, Kondo A, Matsubara M.","Environ Res. 2014 Jul;132:220-5. doi: 10.1016/j.envres.2014.04.014. Epub 2014 May 8.","Environ Res.  2014","PubMed","citation","PMID:24815334","pubmed","24815334","create date:2014/05/13 | first author:Mimura T",
"Cystatin C: a new renal marker and its potential use in small animal medicine.","/pubmed/24814357","Ghys L, Paepe D, Smets P, Lefebvre H, Delanghe J, Daminet S.","J Vet Intern Med. 2014 Jul-Aug;28(4):1152-64. doi: 10.1111/jvim.12366. Epub 2014 May 9.","J Vet Intern Med.  2014","PubMed","citation","PMID:24814357","pubmed","24814357","create date:2014/05/13 | first author:Ghys L",
"Neglected parasitic infections in the United States: toxocariasis.","/pubmed/24808249","Woodhall DM, Eberhard ML, Parise ME.","Am J Trop Med Hyg. 2014 May;90(5):810-3. doi: 10.4269/ajtmh.13-0725.","Am J Trop Med Hyg.  2014","PubMed","citation","PMID:24808249 | PMCID:PMC4015569","pubmed","24808249","create date:2014/05/09 | first author:Woodhall DM",
"Pasteurella multocida: a nightmare for a replaced joint and the challenge to save it.","/pubmed/24791364","Vélez FA, Laboy Ortíz IE, López R, Sánchez A, Colón M, Hernán Martínez J.","Bol Asoc Med P R. 2014;106(1):43-5.","Bol Asoc Med P R.  2014","PubMed","citation","PMID:24791364","pubmed","24791364","create date:2014/05/06 | first author:Vélez FA",
"Molecular detection of bacterial and parasitic pathogens in hard ticks from Portugal.","/pubmed/24745731","Maia C, Ferreira A, Nunes M, Vieira ML, Campino L, Cardoso L.","Ticks Tick Borne Dis. 2014 Jun;5(4):409-14. doi: 10.1016/j.ttbdis.2014.01.009. Epub 2014 Apr 18.","Ticks Tick Borne Dis.  2014","PubMed","citation","PMID:24745731","pubmed","24745731","create date:2014/04/22 | first author:Maia C",
"Distribution of Capnocytophaga canimorsus in dogs and cats with genetic characterization of isolates.","/pubmed/24745627","Umeda K, Hatakeyama R, Abe T, Takakura K, Wada T, Ogasawara J, Sanada S, Hase A.","Vet Microbiol. 2014 Jun 25;171(1-2):153-9. doi: 10.1016/j.vetmic.2014.03.023. Epub 2014 Mar 30.","Vet Microbiol.  2014","PubMed","citation","PMID:24745627","pubmed","24745627","create date:2014/04/22 | first author:Umeda K",
"Virulence genotypes, antibiotic resistance and the phylogenetic background of extraintestinal pathogenic Escherichia coli isolated from urinary tract infections of dogs and cats in Brazil.","/pubmed/24742952","Osugui L, de Castro AF, Iovine R, Irino K, Carvalho VM.","Vet Microbiol. 2014 Jun 25;171(1-2):242-7. doi: 10.1016/j.vetmic.2014.03.027. Epub 2014 Mar 30.","Vet Microbiol.  2014","PubMed","citation","PMID:24742952","pubmed","24742952","create date:2014/04/20 | first author:Osugui L",
"Heterogeneities in the ecoepidemiology of Trypanosoma cruzi infection in rural communities of the Argentinean Chaco.","/pubmed/24732461","Cardinal MV, Orozco MM, Enriquez GF, Ceballos LA, Gaspe MS, Alvarado-Otegui JA, Gurevitz JM, Kitron U, Gürtler RE.","Am J Trop Med Hyg. 2014 Jun;90(6):1063-73. doi: 10.4269/ajtmh.13-0251. Epub 2014 Apr 14.","Am J Trop Med Hyg.  2014","PubMed","citation","PMID:24732461 | PMCID:PMC4047730","pubmed","24732461","create date:2014/04/16 | first author:Cardinal MV",
"CVOs quizzed on the 'big issues'.","/pubmed/24722598","Clark K.","Vet Rec. 2014 Apr 12;174(15):369-71. doi: 10.1136/vr.g2680. No abstract available. ","Vet Rec.  2014","PubMed","citation","PMID:24722598","pubmed","24722598","create date:2014/04/12 | first author:Clark K",
"Efficacy in cats of a novel topical combination of fipronil, (S)-methoprene, eprinomectin, praziquantel, against induced infestations of Echinococcus multilocularis.","/pubmed/24703072","Tielemans E, Manavella C, Visser M, Theodore Chester S, Rosentel J.","Vet Parasitol. 2014 Apr 28;202(1-2):26-9. doi: 10.1016/j.vetpar.2014.02.034.","Vet Parasitol.  2014","PubMed","citation","PMID:24703072","pubmed","24703072","create date:2014/04/08 | first author:Tielemans E",
"Major anthropogenic causes for and outcomes of wild animal presentation to a wildlife clinic in East Tennessee, USA, 2000-2011.","/pubmed/24686490","Schenk AN, Souza MJ.","PLoS One. 2014;9(3):e93517. doi: 10.1371/journal.pone.0093517.","PLoS One.  2014","PubMed","citation","PMID:24686490 | PMCID:PMC3970955","pubmed","24686490","create date:2014/04/02 | first author:Schenk AN",
"Serological report of pandemic (H1N1) 2009 infection among cats in northeastern China in 2012-02 and 2013-03.","/pubmed/24624924","Zhao FR, Liu CG, Yin X, Zhou DH, Wei P, Chang HY.","Virol J. 2014 Mar 14;11:49. doi: 10.1186/1743-422X-11-49.","Virol J.  2014","PubMed","citation","PMID:24624924 | PMCID:PMC3995557","pubmed","24624924","create date:2014/03/15 | first author:Zhao FR",
"Animal allergens and their presence in the environment.","/pubmed/24624129","Zahradnik E, Raulf M.","Front Immunol. 2014;5:76. doi: 10.3389/fimmu.2014.00076. Review.","Front Immunol.  2014","PubMed","citation","PMID:24624129 | PMCID:PMC3939690","pubmed","24624129","create date:2014/03/14 | first author:Zahradnik E",
"Pet veterinarians have no increased risk of hepatitis E compared to the general population.","/pubmed/24610550","Mesquita JR, Valente-Gomes G, Conceição-Neto N, Nascimento MS.","J Med Virol. 2014 Jun;86(6):954-6. doi: 10.1002/jmv.23927. Epub 2014 Mar 7.","J Med Virol.  2014","PubMed","citation","PMID:24610550","pubmed","24610550","create date:2014/03/13 | first author:Mesquita JR",
"Pig models of neurodegenerative disorders: Utilization in cell replacement-based preclinical safety and efficacy studies.","/pubmed/24610493","Dolezalova D, Hruska-Plochan M, Bjarkam CR, Sørensen JC, Cunningham M, Weingarten D, Ciacci JD, Juhas S, Juhasova J, Motlik J, Hefferan MP, Hazel T, Johe K, Carromeu C, Muotri A, Bui J, Strnadel J, Marsala M.","J Comp Neurol. 2014 Aug 15;522(12):2784-801. doi: 10.1002/cne.23575. Epub 2014 Apr 12.","J Comp Neurol.  2014","PubMed","citation","PMID:24610493","pubmed","24610493","create date:2014/03/13 | first author:Dolezalova D",
"[Rapid specific IgE assay (ImmunoCAP® RAPID) and skin prick test in the diagnosis of allergic disease].","/pubmed/24608652","Komiyama K, Masumoto A, Nishihara F, Kobayashi T, Soma T, Hagiwara K, Kanazawa M, Nagata M.","Arerugi. 2013 Dec;62(12):1631-41. Japanese. ","Arerugi.  2013","PubMed","citation","PMID:24608652","pubmed","24608652","create date:2014/03/13 | first author:Komiyama K",
"Extended-spectrum-beta-lactamases, AmpC beta-lactamases and plasmid mediated quinolone resistance in klebsiella spp. from companion animals in Italy.","/pubmed/24595207","Donati V, Feltrin F, Hendriksen RS, Svendsen CA, Cordaro G, García-Fernández A, Lorenzetti S, Lorenzetti R, Battisti A, Franco A.","PLoS One. 2014;9(3):e90564. doi: 10.1371/journal.pone.0090564.","PLoS One.  2014","PubMed","citation","PMID:24595207 | PMCID:PMC3942433","pubmed","24595207","create date:2014/03/07 | first author:Donati V",
"Relationship of dog- and cat-specific IgE and IgG4 levels to allergic symptoms on pet exposure.","/pubmed/24565540","Burnett M, Wegienka G, Havstad S, Kim H, Johnson CC, Ownby D, Zoratti E.","J Allergy Clin Immunol Pract. 2013 Jul-Aug;1(4):350-3. doi: 10.1016/j.jaip.2013.03.011. Epub 2013 May 3.","J Allergy Clin Immunol Pract.  2013","PubMed","citation","PMID:24565540","pubmed","24565540","create date:2014/02/26 | first author:Burnett M",
"All lesions great and small, part 1: diagnostic cytology in veterinary medicine.","/pubmed/24554514","Sharkey LC, Seelig DM, Overmann J.","Diagn Cytopathol. 2014 Jun;42(6):535-43. doi: 10.1002/dc.23097. Epub 2014 Feb 19.","Diagn Cytopathol.  2014","PubMed","citation","PMID:24554514","pubmed","24554514","create date:2014/02/21 | first author:Sharkey LC",
"All lesions great and small, part 2. Diagnostic cytology in veterinary medicine.","/pubmed/24554415","Sharkey LC, Seelig DM, Overmann J.","Diagn Cytopathol. 2014 Jun;42(6):544-52. doi: 10.1002/dc.23090. Epub 2014 Feb 19.","Diagn Cytopathol.  2014","PubMed","citation","PMID:24554415","pubmed","24554415","create date:2014/02/21 | first author:Sharkey LC",
"Use of statewide emergency department surveillance data to assess incidence of animal bite injuries among humans in North Carolina.","/pubmed/24548236","Rhea SK, Weber DJ, Poole C, Waller AE, Ising AI, Williams C.","J Am Vet Med Assoc. 2014 Mar 1;244(5):597-603. doi: 10.2460/javma.244.5.597.","J Am Vet Med Assoc.  2014","PubMed","citation","PMID:24548236","pubmed","24548236","create date:2014/02/20 | first author:Rhea SK",
"Epidemiological study (2006-2012) on the poisoning of small animals by human and veterinary drugs.","/pubmed/24477472","Caloni F, Cortinovis C, Pizzo F, Rivolta M, Davanzo F.","Vet Rec. 2014 Mar 1;174(9):222. doi: 10.1136/vr.102107. Epub 2014 Jan 29.","Vet Rec.  2014","PubMed","citation","PMID:24477472","pubmed","24477472","create date:2014/01/31 | first author:Caloni F",
"Polyphasic characterization of fungal isolates from a published case of invasive aspergillosis reveals misidentification of Aspergillus felis as Aspergillus viridinutans.","/pubmed/24469682","Alvarez-Pérez S, Mellado E, Serrano D, Blanco JL, Garcia ME, Kwon M, Muñoz P, Cuenca-Estrella M, Bouza E, Peláez T.","J Med Microbiol. 2014 Apr;63(Pt 4):617-9. doi: 10.1099/jmm.0.068502-0. Epub 2014 Jan 27. No abstract available. ","J Med Microbiol.  2014","PubMed","citation","PMID:24469682","pubmed","24469682","create date:2014/01/29 | first author:Alvarez-Pérez S",
"Molecular detection of Rickettsia felis and Bartonella henselae in dog and cat fleas in Central Oromia, Ethiopia.","/pubmed/24445204","Kumsa B, Parola P, Raoult D, Socolovschi C.","Am J Trop Med Hyg. 2014 Mar;90(3):457-62. doi: 10.4269/ajtmh.13-0010. Epub 2014 Jan 20.","Am J Trop Med Hyg.  2014","PubMed","citation","PMID:24445204 | PMCID:PMC3945691","pubmed","24445204","create date:2014/01/22 | first author:Kumsa B",
"Dermatophytosis in animals: epidemiological, clinical and zoonotic aspects.","/pubmed/24442037","Moretti A, Agnetti F, Mancianti F, Nardoni S, Righi C, Moretta I, Morganti G, Papini M.","G Ital Dermatol Venereol. 2013 Dec;148(6):563-72. Review.","G Ital Dermatol Venereol.  2013","PubMed","citation","PMID:24442037","pubmed","24442037","create date:2014/01/21 | first author:Moretti A",
"Sarcocystis and sarcocystosis in India: status and emerging perspectives.","/pubmed/24431532","Chhabra MB, Samantaray S.","J Parasit Dis. 2013 Apr;37(1):1-10. doi: 10.1007/s12639-012-0135-y. Epub 2012 Aug 17. Review.","J Parasit Dis.  2013","PubMed","citation","PMID:24431532 | PMCID:PMC3590369","pubmed","24431532","create date:2014/01/17 | first author:Chhabra MB",
"Dogs, cats, parasites, and humans in Brazil: opening the black box.","/pubmed/24423244","Dantas-Torres F, Otranto D.","Parasit Vectors. 2014 Jan 14;7:22. doi: 10.1186/1756-3305-7-22. Review.","Parasit Vectors.  2014","PubMed","citation","PMID:24423244 | PMCID:PMC3914713","pubmed","24423244","create date:2014/01/16 | first author:Dantas-Torres F",
"Determination of the prevalence of African trypanosome species in indigenous dogs of Mambwe district, eastern Zambia, by loop-mediated isothermal amplification.","/pubmed/24411022","Lisulo M, Sugimoto C, Kajino K, Hayashida K, Mudenda M, Moonga L, Ndebe J, Nzala S, Namangala B.","Parasit Vectors. 2014 Jan 10;7:19. doi: 10.1186/1756-3305-7-19.","Parasit Vectors.  2014","PubMed","citation","PMID:24411022 | PMCID:PMC3895695","pubmed","24411022","create date:2014/01/15 | first author:Lisulo M",
"Microarrayed dog, cat, and horse allergens show weak correlation between allergen-specific IgE and IgG responses.","/pubmed/24406070","Curin M, Swoboda I, Wollmann E, Lupinek C, Spitzauer S, van Hage M, Valenta R.","J Allergy Clin Immunol. 2014 Mar;133(3):918-21.e6. doi: 10.1016/j.jaci.2013.10.058. Epub 2014 Jan 7. No abstract available. ","J Allergy Clin Immunol.  2014","PubMed","citation","PMID:24406070 | PMCID:PMC3969580","pubmed","24406070","create date:2014/01/11 | first author:Curin M",
"Carbohydrate metabolism and pathogenesis of diabetes mellitus in dogs and cats.","/pubmed/24373244","Hoenig M.","Prog Mol Biol Transl Sci. 2014;121:377-412. doi: 10.1016/B978-0-12-800101-1.00012-0. Review.","Prog Mol Biol Transl Sci.  2014","PubMed","citation","PMID:24373244","pubmed","24373244","create date:2014/01/01 | first author:Hoenig M",
"An official American thoracic society workshop report: comparative pathobiology of fibrosing lung disorders in humans and domestic animals.","/pubmed/24364785","Roman J, Brown KK, Olson A, Corcoran BM, Williams KJ; ATS Comparative Biology of Lung Fibrosis Working Group.","Ann Am Thorac Soc. 2013 Dec;10(6):S224-9. doi: 10.1513/AnnalsATS.201309-321ST.","Ann Am Thorac Soc.  2013","PubMed","citation","PMID:24364785","pubmed","24364785","create date:2013/12/25 | first author:Roman J",
"[Antibiotic prophylaxis for bites in children].","/pubmed/24360308","Quinet B, Grimprel E.","Arch Pediatr. 2013 Nov;20 Suppl 3:S86-9. doi: 10.1016/S0929-693X(13)71414-3. French. ","Arch Pediatr.  2013","PubMed","citation","PMID:24360308","pubmed","24360308","create date:2013/12/24 | first author:Quinet B",
"The feline bile salt export pump: a structural and functional comparison with canine and human Bsep/BSEP.","/pubmed/24359682","van Beusekom CD, van den Heuvel JJ, Koenderink JB, Schrickx JA, Russel FG.","BMC Vet Res. 2013 Dec 20;9:259. doi: 10.1186/1746-6148-9-259.","BMC Vet Res.  2013","PubMed","citation","PMID:24359682 | PMCID:PMC3900472","pubmed","24359682","create date:2013/12/24 | first author:van Beusekom CD",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Clinical survey and analysis of allergic rhinitis patients' allergens in Guangdong developed and developing regions].","/pubmed/24358791","Qiu Q, Lu C, Han H, Chen S.","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2013 Sep;27(17):928-31. Chinese. ","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi.  2013","PubMed","citation","PMID:24358791","pubmed","24358791","create date:2013/12/24 | first author:Qiu Q",
"How radiotherapy was historically used to treat pneumonia: could it be useful today?","/pubmed/24348219","Calabrese EJ, Dhawan G.","Yale J Biol Med. 2013 Dec 13;86(4):555-70.","Yale J Biol Med.  2013","PubMed","citation","PMID:24348219 | PMCID:PMC3848110","pubmed","24348219","create date:2013/12/19 | first author:Calabrese EJ",
"Current attitudes regarding the use of perioperative analgesics in dogs and cats by Brazilian veterinarians.","/pubmed/24344759","Lorena SE, Luna SP, Lascelles BD, Corrente JE.","Vet Anaesth Analg. 2014 Jan;41(1):82-9. doi: 10.1111/vaa.12104.","Vet Anaesth Analg.  2014","PubMed","citation","PMID:24344759","pubmed","24344759","create date:2013/12/19 | first author:Lorena SE",
"Earliest evidence for commensal processes of cat domestication.","/pubmed/24344279","Hu Y, Hu S, Wang W, Wu X, Marshall FB, Chen X, Hou L, Wang C.","Proc Natl Acad Sci U S A. 2014 Jan 7;111(1):116-20. doi: 10.1073/pnas.1311439110. Epub 2013 Dec 16.","Proc Natl Acad Sci U S A.  2014","PubMed","citation","PMID:24344279 | PMCID:PMC3890806","pubmed","24344279","create date:2013/12/18 | first author:Hu Y",
"Thyroid scintigraphy in veterinary medicine.","/pubmed/24314043","Daniel GB, Neelis DA.","Semin Nucl Med. 2014 Jan;44(1):24-34. doi: 10.1053/j.semnuclmed.2013.08.007. Review.","Semin Nucl Med.  2014","PubMed","citation","PMID:24314043","pubmed","24314043","create date:2013/12/10 | first author:Daniel GB",
"Identification multiplex assay of 19 terrestrial mammal species present in New Zealand.","/pubmed/24310859","Ramón-Laca A, Linacre AM, Gleeson DM, Tobe SS.","Electrophoresis. 2013 Dec;34(24):3370-6. doi: 10.1002/elps.201300324. Epub 2013 Nov 13.","Electrophoresis.  2013","PubMed","citation","PMID:24310859","pubmed","24310859","create date:2013/12/07 | first author:Ramón-Laca A",
"The case against the use of dental implants in dogs and cats.","/pubmed/24299535","Tannenbaum J, Arzi B, Reiter AM, Peralta S, Snyder CJ, Lommer MJ, Harvey CE, Soukup JW, Verstraete FJ.","J Am Vet Med Assoc. 2013 Dec 15;243(12):1680-5. doi: 10.2460/javma.243.12.1680. No abstract available. ","J Am Vet Med Assoc.  2013","PubMed","citation","PMID:24299535","pubmed","24299535","create date:2013/12/05 | first author:Tannenbaum J",
"Evaluation of rt-PCR assay for routine laboratory diagnosis of rabies in post mortem brain samples from different species of animals.","/pubmed/24293832","Aravindh Babu RP, Manoharan S, Ramadass P, Chandran ND.","Indian J Virol. 2012 Dec;23(3):392-6. doi: 10.1007/s13337-012-0109-9. Epub 2012 Sep 25.","Indian J Virol.  2012","PubMed","citation","PMID:24293832 | PMCID:PMC3550798","pubmed","24293832","create date:2013/12/03 | first author:Aravindh Babu RP",
"Veterinary photodynamic therapy: a review.","/pubmed/24284083","Buchholz J, Walt H.","Photodiagnosis Photodyn Ther. 2013 Dec;10(4):342-7. doi: 10.1016/j.pdpdt.2013.05.009. Epub 2013 Jul 1. Review.","Photodiagnosis Photodyn Ther.  2013","PubMed","citation","PMID:24284083","pubmed","24284083","create date:2013/11/29 | first author:Buchholz J",
"Mycobacterium bovis infections in domesticated non-bovine mammalian species. Part 1: Review of epidemiology and laboratory submissions in Great Britain 2004-2010.","/pubmed/24268485","Broughan JM, Downs SH, Crawshaw TR, Upton PA, Brewer J, Clifton-Hadley RS.","Vet J. 2013 Nov;198(2):339-45. doi: 10.1016/j.tvjl.2013.09.006. Epub 2013 Sep 20. Review.","Vet J.  2013","PubMed","citation","PMID:24268485","pubmed","24268485","create date:2013/11/26 | first author:Broughan JM",
"Epidemiological situation of toxocariasis in Iran: meta-analysis and systematic review.","/pubmed/24261119","Abdi J, Darabi M, Sayehmiri K.","Pak J Biol Sci. 2012 Nov 15;15(22):1052-5. Review.","Pak J Biol Sci.  2012","PubMed","citation","PMID:24261119","pubmed","24261119","create date:2013/11/23 | first author:Abdi J",
"Bartonella spp. in cats from Buenos Aires, Argentina.","/pubmed/24247021","Cicuttin GL, Brambati DF, De Gennaro MF, Carmona F, Isturiz ML, Pujol LE, Belerenian GC, Gil H.","Vet Microbiol. 2014 Jan 10;168(1):225-8. doi: 10.1016/j.vetmic.2013.10.016. Epub 2013 Oct 26.","Vet Microbiol.  2014","PubMed","citation","PMID:24247021","pubmed","24247021","create date:2013/11/20 | first author:Cicuttin GL",
"Cat and dog sensitization in pet shop workers.","/pubmed/24174631","Yilmaz I, Oner Erkekol F, Secil D, Misirligil Z, Mungan D.","Occup Med (Lond). 2013 Dec;63(8):563-7. doi: 10.1093/occmed/kqt116. Epub 2013 Oct 30.","Occup Med (Lond).  2013","PubMed","citation","PMID:24174631","pubmed","24174631","create date:2013/11/01 | first author:Yilmaz I",
"Analysis of cationic amino acid transport activity in canine lens epithelial cells.","/pubmed/24172195","Ochiai H, Moriyama J, Kanemaki N, Sato R, Onda K.","Exp Anim. 2013;62(4):311-7.","Exp Anim.  2013","PubMed","citation","PMID:24172195","pubmed","24172195","create date:2013/11/01 | first author:Ochiai H",
"0.4% dimeticone spray, a novel physically acting household treatment for control of cat fleas.","/pubmed/24169258","Jones IM, Brunton ER, Burgess IF.","Vet Parasitol. 2014 Jan 17;199(1-2):99-106. doi: 10.1016/j.vetpar.2013.09.031. Epub 2013 Oct 7.","Vet Parasitol.  2014","PubMed","citation","PMID:24169258","pubmed","24169258","create date:2013/10/31 | first author:Jones IM",
"A cross-sectional analysis of pet-specific immunoglobulin E sensitization and allergic symptomatology and household pet keeping in a birth cohort population.","/pubmed/24169057","Ezell JM, Wegienka G, Havstad S, Ownby DR, Johnson CC, Zoratti EM.","Allergy Asthma Proc. 2013 Nov-Dec;34(6):504-10. doi: 10.2500/aap.2013.34.3698.","Allergy Asthma Proc.  2013","PubMed","citation","PMID:24169057 | PMCID:PMC3808752","pubmed","24169057","create date:2013/10/31 | first author:Ezell JM",
"Putative paraneoplastic pemphigus and myasthenia gravis in a cat with a lymphocytic thymoma.","/pubmed/24164490","Hill PB, Brain P, Collins D, Fearnside S, Olivry T.","Vet Dermatol. 2013 Dec;24(6):646-9, e163-4. doi: 10.1111/vde.12086. Epub 2013 Oct 28.","Vet Dermatol.  2013","PubMed","citation","PMID:24164490","pubmed","24164490","create date:2013/10/30 | first author:Hill PB",
"Mycobacterium bovis infection: everything but the cow.","/pubmed/24157342","Cassidy JP.","Vet J. 2013 Nov;198(2):303-4. doi: 10.1016/j.tvjl.2013.09.014. Epub 2013 Sep 20. No abstract available. ","Vet J.  2013","PubMed","citation","PMID:24157342","pubmed","24157342","create date:2013/10/26 | first author:Cassidy JP",
